state_nameA,state_nameB,year,atopally,defense,offense,neutral,nonagg,consul,shareob,transyr,bilatno,multino,number,asymm,stateA,stateB,version,atopids
United States of America,Canada,2018,1,1,0,0,1,1,,0,0,3,3,0,2,20,5.1,"[3180.0, 3740.0, 3755.0]"
United States of America,Bahamas,2018,1,1,0,0,1,1,,0,0,2,2,0,2,31,5.1,"[3075.0, 3150.0]"
United States of America,Haiti,2018,1,1,0,0,1,1,,0,0,2,2,0,2,41,5.1,"[3075.0, 3150.0]"
United States of America,Dominican Republic,2018,1,1,0,0,1,1,,0,0,2,2,0,2,42,5.1,"[3075.0, 3150.0]"
United States of America,Jamaica,2018,1,1,0,0,1,1,,0,0,1,1,0,2,51,5.1,[3150.0]
United States of America,Trinidad and Tobago,2018,1,1,0,0,1,1,,0,0,2,2,0,2,52,5.1,"[3075.0, 3150.0]"
United States of America,Barbados,2018,1,1,0,0,1,1,,0,0,1,1,0,2,53,5.1,[3150.0]
United States of America,Dominica,2018,1,1,0,0,1,1,,0,0,1,1,0,2,54,5.1,[3150.0]
United States of America,Grenada,2018,1,1,0,0,1,1,,0,0,1,1,0,2,55,5.1,[3150.0]
United States of America,St. Lucia,2018,1,1,0,0,1,1,,0,0,1,1,0,2,56,5.1,[3150.0]
United States of America,St. Vincent and the Grenadines,2018,1,1,0,0,1,1,,0,0,1,1,0,2,57,5.1,[3150.0]
United States of America,Antigua & Barbuda,2018,1,1,0,0,1,1,,0,0,1,1,0,2,58,5.1,[3150.0]
United States of America,St. Kitts and Nevis,2018,1,1,0,0,1,1,,0,0,1,1,0,2,60,5.1,[3150.0]
United States of America,Mexico,2018,1,1,0,0,1,1,,0,0,1,1,0,2,70,5.1,[3150.0]
United States of America,Belize,2018,1,1,0,0,1,1,,0,0,1,1,0,2,80,5.1,[3150.0]
United States of America,Guatemala,2018,1,1,0,0,1,1,,0,0,2,2,0,2,90,5.1,"[3075.0, 3150.0]"
United States of America,Honduras,2018,1,1,0,0,1,1,,0,0,2,2,0,2,91,5.1,"[3075.0, 3150.0]"
United States of America,El Salvador,2018,1,1,0,0,1,1,,0,0,2,2,0,2,92,5.1,"[3075.0, 3150.0]"
United States of America,Nicaragua,2018,1,1,0,0,1,1,,0,0,1,1,0,2,93,5.1,[3150.0]
United States of America,Costa Rica,2018,1,1,0,0,1,1,,0,0,2,2,0,2,94,5.1,"[3075.0, 3150.0]"
United States of America,Panama,2018,1,1,0,0,1,1,,0,0,2,2,0,2,95,5.1,"[3075.0, 3150.0]"
United States of America,Colombia,2018,1,1,0,0,1,1,,0,0,2,2,0,2,100,5.1,"[3075.0, 3150.0]"
United States of America,Venezuela,2018,1,1,0,0,1,1,,0,0,1,1,0,2,101,5.1,[3150.0]
United States of America,Guyana,2018,1,1,0,0,1,1,,0,0,1,1,0,2,110,5.1,[3150.0]
