iso3,state_name
ASM,American Samoa
ATA,Antarctica
BES,Bonaire
BVT,Bouvet Island
BAT,Br. Antr. Terr
IOT,British Indian Ocean Ter.
VGB,British Virgin Islands
BUN,Bunkers
TCD,Chad
CXR,Christmas Island
CCK,Cocos (Keeling) Islands
CUW,Curaï¿½ao
CSK,Czechoslovakia
GNQ,Equatorial Guinea
ETF,Ethiopia(includes Eritrea)
FLK,Falkland Island
ATF,Fr. So. Ant. Tr
FRE,Free Zones
DDR,German Democratic Republic
GIB,Gibraltar
GUM,Guam
HTI,Haiti
HMD,Heard Island and McDonald Isla
VAT,Holy See
PRK,"Korea, Dem. Rep."
LBR,Liberia
MHL,Marshall Islands
MCO,Monaco
NRU,Nauru
NZE,Neutral Zone
NIU,Niue
NFK,Norfolk Island
MNP,Northern Mariana Islands
999,Not Applicable
PCE,Pacific Islands
PCN,Pitcairn
BLM,Saint Barthï¿½lemy
SHN,Saint Helena
SXM,Saint Maarten (Dutch part)
SPM,Saint Pierre and Miquelon
SMR,San Marino
SOM,Somalia
SGS,South Georgia and the South Sa
SSD,South Sudan
SVU,Soviet Union
SPE,Special Categories
TKL,Tokelau
UMI,United States Minor Outlying I
UNS,Unspecified
USP,Us Msc.Pac.I
WLF,Wallis and Futura Isl.
ESH,Western Sahara
YDR,Yemen Democratic
YUG,"Yugoslavia,FR(Serbia/Montenegr"
