iso3,state_name,CCode
BHS,Bahamas,31
ATG,Antigua & Barbuda,58
LIE,Liechtenstein,223
,Hanover,240
,Bavaria,245
,German Federal Republic,260
,Baden,267
,Saxony,269
,Wuerttemburg,271
,Hesse Electoral,273
,Hesse Grand Ducal,275
,Mecklenburg Schwerin,280
,Austria-Hungary,300
SVK,Slovakia,317
,Papal States,327
,Two Sicilies,329
,Modena,332
,Parma,335
,Tuscany,337
,Kosovo,347
GMB,Gambia,420
CIV,Ivory Coast,437
COG,Congo,484
COD,Democratic Republic of the Congo,490
TZA,Zanzibar,511
SWZ,Swaziland,572
YEM,Yemen Arab Republic,678
YMD,Yemen People's Republic,680
KGZ,Kyrgyzstan,703
TWN,Taiwan,713
KOR,South Korea,732
,Republic of Vietnam,817



