region,iso3
East Asia & Pacific,KOR
East Asia & Pacific,BRN
East Asia & Pacific,TMP
East Asia & Pacific,MMR
East Asia & Pacific,KHM
East Asia & Pacific,MNG
East Asia & Pacific,PYF
East Asia & Pacific,TUV
East Asia & Pacific,SLB
East Asia & Pacific,CHN
East Asia & Pacific,FSM
East Asia & Pacific,FJI
East Asia & Pacific,WSM
East Asia & Pacific,THA
East Asia & Pacific,MHL
East Asia & Pacific,TON
East Asia & Pacific,MYS
East Asia & Pacific,SGP
East Asia & Pacific,NCL
East Asia & Pacific,VUT
East Asia & Pacific,MAC
East Asia & Pacific,LAO
East Asia & Pacific,IDN
East Asia & Pacific,PNG
East Asia & Pacific,ASM
East Asia & Pacific,PLW
East Asia & Pacific,PHL
East Asia & Pacific,HKG
East Asia & Pacific,NZL
East Asia & Pacific,JPN
East Asia & Pacific,MNP
East Asia & Pacific,KIR
East Asia & Pacific,AUS
East Asia & Pacific,VNM
East Asia & Pacific,GUM
East Asia & Pacific,PRK
Europe & Central Asia,SWE
Europe & Central Asia,LUX
Europe & Central Asia,GRL
Europe & Central Asia,LTU
Europe & Central Asia,SVN
Europe & Central Asia,GRC
Europe & Central Asia,EST
Europe & Central Asia,ISL
Europe & Central Asia,LVA
Europe & Central Asia,KGZ
Europe & Central Asia,TJK
Europe & Central Asia,FRO
Europe & Central Asia,HUN
Europe & Central Asia,FIN
Europe & Central Asia,ESP
Europe & Central Asia,GEO
Europe & Central Asia,KAZ
Europe & Central Asia,FRA
Europe & Central Asia,CHE
Europe & Central Asia,DEU
Europe & Central Asia,HRV
Europe & Central Asia,DNK
Europe & Central Asia,ALB
Europe & Central Asia,ARM
Europe & Central Asia,NOR
Europe & Central Asia,AUT
Europe & Central Asia,AZE
Europe & Central Asia,MKD
Europe & Central Asia,POL
Europe & Central Asia,BLR
Europe & Central Asia,BEL
Europe & Central Asia,PRT
Europe & Central Asia,BIH
Europe & Central Asia,UZB
Europe & Central Asia,SVK
Europe & Central Asia,BGR
Europe & Central Asia,NLD
Europe & Central Asia,GBR
