reporter,partner,year,export,import
AFG,WLD,2008,540065.594,3019860.129
AFG,WLD,2009,403441.006,3336434.781
AFG,WLD,2010,388483.635,5154249.867
AFG,WLD,2011,375850.935,6390310.947
AFG,WLD,2012,428902.71,6204984.101
AFG,WLD,2013,514972.983,8554413.749
AFG,WLD,2014,570534.007,7697178.17
AFG,WLD,2015,571404.967,7722865.049
AFG,WLD,2016,596455.337,6534140.413
AFG,WLD,2017,831926.77177,7792600.11174
AFG,WLD,2018,884504.49637,7406590.32475
AFG,WLD,2019,870488.51246,8568013.87687
ALB,WLD,1996,211140.4,938481.792
ALB,WLD,1997,137681.008,629026.304
ALB,WLD,1998,207653.802,841256.184
ALB,WLD,1999,351097.824,1154351.169
ALB,WLD,2000,261475.781,1089467.879
ALB,WLD,2001,304930.699,1330631.066
ALB,WLD,2002,330241.497,1503685.206
ALB,WLD,2003,447220.546,1864328.86
ALB,WLD,2004,602653.356,2300168.341
ALB,WLD,2005,658233.171,2614347.012
ALB,WLD,2006,792629.671,3057408.426
ALB,WLD,2007,1077690.359,4200864.046
ALB,WLD,2008,1354921.653,5250490.022
ALB,WLD,2009,1087914.902,4548287.875
ALB,WLD,2010,1549955.724,4602774.967
ALB,WLD,2011,1948207.305,5395853.069
ALB,WLD,2012,1967918.947,4879829.648
ALB,WLD,2013,2331521.928,4880593.254
ALB,WLD,2014,2430723.644,5229972.238
ALB,WLD,2015,1929657.032,4320219.367
ALB,WLD,2016,1962117.416,4669289.913
ALB,WLD,2017,2302318.25172532,5282117.40285262
ALB,WLD,2018,2875859.77876521,5941286.94948696
ALB,WLD,2019,2719428.70804225,5908003.38010802
ALB,WLD,2020,2415632.33541902,5410943.44685107
ALB,WLD,2021,3562297.235872,7734905.145339
DZA,WLD,1992,11136801.792,8647816.192
DZA,WLD,1993,10097665.024,8785274.88
DZA,WLD,1994,8593806.336,9598673.92
DZA,WLD,1995,9356680.192,10782432.256
DZA,WLD,1996,11099222.016,9105595.392
DZA,WLD,1997,13894123.52,8688356.352
DZA,WLD,1998,9838587.904,9403430.912
DZA,WLD,1999,12525276.632,9161845.368
DZA,WLD,2000,22031287.644,9152077.226
DZA,WLD,2001,19147619.19,9945719.404
DZA,WLD,2002,18832409.255,12009774.693
DZA,WLD,2003,24653655.793,13545429.533
DZA,WLD,2004,32076791.698,18303023.344
DZA,WLD,2005,46001735.483,20356879.694
DZA,WLD,2006,54612721.784,21455854.547
DZA,WLD,2007,60163160.346,27631203.951
DZA,WLD,2008,79297591.513,39474721.566
DZA,WLD,2009,45193920.241,39258326.938
DZA,WLD,2010,57050973.573,40999891.115
DZA,WLD,2011,73436306.091,47219730.324
DZA,WLD,2012,71865748.994,50369390.586
DZA,WLD,2013,65998137.595,54909973.274
DZA,WLD,2014,60387689.304,58618080.185
DZA,WLD,2015,34795951.491,51803071.085
DZA,WLD,2016,29992101.47,47090683.586
DZA,WLD,2017,35191117.4161,46053015.989108
AND,WLD,1995,47803.14,1025480.576
AND,WLD,1996,46242.984,1061358.4
AND,WLD,1997,48000.384,1061291.648
AND,WLD,1998,57858.896,1064134.784
AND,WLD,1999,42680.6,1078680.594
AND,WLD,2000,45329.043,1011959.615
AND,WLD,2001,52421.237,1042065.997
AND,WLD,2002,63752.333,1199570.945
AND,WLD,2003,90155.985,1513115.27
AND,WLD,2004,123209.544,1761745.343
AND,WLD,2006,165379.939939817,1787807.6406048
AND,WLD,2007,150846.156687305,1925764.47260755
AND,WLD,2008,139099.612128479,1939929.69024609
AND,WLD,2009,100478.001173524,1610110.56620086
AND,WLD,2010,92319.0474391248,1540506.32523496
AND,WLD,2011,114022.712151423,1617690.97738033
AND,WLD,2012,105977.644763457,1417733.78405466
AND,WLD,2013,98990.6941664264,1487194.09390088
AND,WLD,2014,95157.7074279242,1556048.5278525
AND,WLD,2015,89501.9351618219,1293752.87650544
AND,WLD,2016,96367.3096430448,1354095.9400209
AND,WLD,2017,117979.90626973,1478481.17762196
AND,WLD,2018,129335.364185656,1609618.77755144
AND,WLD,2019,125151.573783256,1539071.29155313
AND,WLD,2020,166781.088992823,1494812.26851873
AND,WLD,2021,163974.317509802,1563492.3974098
AGO,WLD,2007,44177783.071,11094843.413
AGO,WLD,2009,40639411.732,23918854.361
AGO,WLD,2010,52612114.761,18143268.908
AGO,WLD,2011,66427390.22,20790996.039
AGO,WLD,2012,70863076.413,28722984.064
AGO,WLD,2013,67712526.547,26756062.991
AGO,WLD,2014,58672369.19,28753499.329
AGO,WLD,2015,33924937.47831,21549256.53051
AGO,WLD,2016,28057499.52239,14347710.4978
AGO,WLD,2017,34904881.10937,15462313.47823
AGO,WLD,2018,40664718.8149598,16006910.5790636
AGO,WLD,2019,35432454.858832,13961640.425765
AGO,WLD,2020,22134505.473377,9337925.708641
AGO,WLD,2021,34472161.956832,11378927.920701
AIA,WLD,2000,4001.297,94514.171
AIA,WLD,2001,3200.931,77704.66
AIA,WLD,2002,4344.499,69893.421
AIA,WLD,2003,4238.995,76776.651
AIA,WLD,2004,5748.088,102438.551
AIA,WLD,2006,12237.708,174899.062
AIA,WLD,2007,9185.3,247904.776
AIA,WLD,2008,11474.54,271744.4
ATG,WLD,1999,14974.068,356003.488
ATG,WLD,2000,22519.698,338187.415
ATG,WLD,2005,120636.13,525205.964
ATG,WLD,2007,98628.077,573078.069
ATG,WLD,2009,205701.562,699056.325
ATG,WLD,2010,34828.29,501230.695
ATG,WLD,2011,29028.024,471410.407
ATG,WLD,2012,29006.273,339511.614
ATG,WLD,2013,32922.552,343109.397
ATG,WLD,2014,23082.464,551751.293
ATG,WLD,2015,26045.541,465127.071
ATG,WLD,2016,61043.254,490525.305
ATG,WLD,2017,62390.6027130386,629819.171869087
ATG,WLD,2018,25841.0815588926,569155.190996091
ATG,WLD,2019,37400.1184031203,568301.522749303
ATG,WLD,2006,,670748.045
ARG,WLD,1993,13117745.152,16772908.032
ARG,WLD,1994,15838651.392,21581053.952
ARG,WLD,1995,20962574.336,20121640.96
ARG,WLD,1996,23809628.16,23761555.456
ARG,WLD,1997,26430820.352,30349402.112
ARG,WLD,1998,26433671.168,31377246.208
ARG,WLD,1999,23332660.078,25507944.033
