source,target,weight
United States of America,Canada,4
United States of America,Bahamas,4
United States of America,Haiti,4
United States of America,Dominican Republic,4
United States of America,Jamaica,4
United States of America,Trinidad and Tobago,4
United States of America,Barbados,4
United States of America,Dominica,4
United States of America,Grenada,4
United States of America,St. Lucia,4
United States of America,St. Vincent and the Grenadines,4
United States of America,Antigua & Barbuda,4
United States of America,St. Kitts and Nevis,4
United States of America,Mexico,4
United States of America,Belize,4
United States of America,Guatemala,4
United States of America,Honduras,4
United States of America,El Salvador,4
United States of America,Nicaragua,4
United States of America,Costa Rica,4
United States of America,Panama,4
United States of America,Colombia,4
United States of America,Venezuela,4
United States of America,Guyana,4
United States of America,Suriname,4
United States of America,Ecuador,4
United States of America,Peru,4
United States of America,Brazil,4
United States of America,Bolivia,4
United States of America,Paraguay,4
United States of America,Chile,4
United States of America,Argentina,4
United States of America,Uruguay,4
United States of America,United Kingdom,4
United States of America,Ireland,2
United States of America,Netherlands,4
United States of America,Belgium,4
United States of America,Luxembourg,4
United States of America,France,4
United States of America,Monaco,2
United States of America,Liechtenstein,2
United States of America,Switzerland,2
United States of America,Spain,4
United States of America,Andorra,2
United States of America,Portugal,4
United States of America,Germany,4
United States of America,Poland,4
United States of America,Austria,2
United States of America,Hungary,4
United States of America,Czech Republic,4
United States of America,Slovakia,4
United States of America,Italy,4
United States of America,San Marino,2
United States of America,Malta,2
United States of America,Albania,4
United States of America,Montenegro,4
United States of America,Macedonia,2
United States of America,Croatia,4
United States of America,Yugoslavia,2
United States of America,Bosnia and Herzegovina,2
United States of America,Slovenia,4
United States of America,Greece,4
United States of America,Cyprus,2
United States of America,Bulgaria,4
United States of America,Moldova,2
United States of America,Romania,4
United States of America,Russia,2
United States of America,Estonia,4
United States of America,Latvia,4
United States of America,Lithuania,4
United States of America,Ukraine,2
United States of America,Belarus,2
United States of America,Armenia,2
United States of America,Georgia,2
United States of America,Azerbaijan,2
United States of America,Finland,2
United States of America,Sweden,2
United States of America,Norway,4
United States of America,Denmark,4
United States of America,Iceland,4
United States of America,Liberia,1
United States of America,Morocco,2
United States of America,Turkey,4
United States of America,Iraq,2
United States of America,Egypt,2
United States of America,Afghanistan,1
United States of America,Turkmenistan,2
United States of America,Tajikistan,2
United States of America,Kyrgyzstan,2
United States of America,Uzbekistan,2
United States of America,Kazakhstan,2
United States of America,China,2
United States of America,Mongolia,2
United States of America,North Korea,2
United States of America,South Korea,4
United States of America,Japan,4
United States of America,India,2
United States of America,Pakistan,4
United States of America,Bangladesh,2
United States of America,Myanmar,2
United States of America,Sri Lanka,2
United States of America,Thailand,4
United States of America,Cambodia,2
United States of America,Laos,2
United States of America,Vietnam,2
United States of America,Malaysia,2
United States of America,Singapore,2
United States of America,Brunei,2
United States of America,Philippines,4
United States of America,Indonesia,2
United States of America,East Timor,2
United States of America,Australia,4
United States of America,Papua New Guinea,2
United States of America,New Zealand,2
United States of America,Kiribati,1
United States of America,Tuvalu,1
Canada,United States of America,4
Canada,Brazil,2
Canada,Chile,2
Canada,United Kingdom,4
Canada,Ireland,2
Canada,Netherlands,4
Canada,Belgium,4
Canada,Luxembourg,4
Canada,France,4
Canada,Monaco,2
Canada,Liechtenstein,2
Canada,Switzerland,2
Canada,Spain,4
Canada,Andorra,2
Canada,Portugal,4
Canada,Germany,4
Canada,Poland,4
Canada,Austria,2
Canada,Hungary,4
Canada,Czech Republic,4
Canada,Slovakia,4
Canada,Italy,4
Canada,San Marino,2
Canada,Malta,2
Canada,Albania,4
Canada,Montenegro,4
Canada,Macedonia,2
Canada,Croatia,4
Canada,Yugoslavia,2
Canada,Bosnia and Herzegovina,2
Canada,Slovenia,4
Canada,Greece,4
Canada,Cyprus,2
Canada,Bulgaria,4
Canada,Moldova,2
Canada,Romania,4
Canada,Russia,3
Canada,Estonia,4
Canada,Latvia,4
Canada,Lithuania,4
Canada,Ukraine,2
Canada,Belarus,2
Canada,Armenia,2
Canada,Georgia,2
Canada,Azerbaijan,2
Canada,Finland,2
Canada,Sweden,2
Canada,Norway,4
Canada,Denmark,4
Canada,Iceland,4
Canada,Morocco,2
Canada,Turkey,4
Canada,Egypt,2
Canada,Turkmenistan,2
Canada,Tajikistan,2
Canada,Kyrgyzstan,2
Canada,Uzbekistan,2
Canada,Kazakhstan,2
Canada,China,2
Canada,Mongolia,2
Canada,North Korea,2
Canada,South Korea,2
Canada,Japan,2
Canada,India,2
Canada,Pakistan,2
Canada,Bangladesh,2
Canada,Myanmar,2
Canada,Sri Lanka,2
Canada,Thailand,2
Canada,Cambodia,2
Canada,Laos,2
Canada,Vietnam,2
Canada,Malaysia,2
Canada,Singapore,2
Canada,Brunei,2
Canada,Philippines,2
Canada,Indonesia,2
Canada,East Timor,2
Canada,Australia,2
Canada,Papua New Guinea,2
Canada,New Zealand,2
Bahamas,United States of America,4
Bahamas,Haiti,4
Bahamas,Dominican Republic,4
Bahamas,Jamaica,4
Bahamas,Trinidad and Tobago,4
Bahamas,Barbados,4
Bahamas,Dominica,4
Bahamas,Grenada,4
Bahamas,St. Lucia,4
Bahamas,St. Vincent and the Grenadines,4
Bahamas,Antigua & Barbuda,4
Bahamas,St. Kitts and Nevis,4
Bahamas,Mexico,4
Bahamas,Belize,4
Bahamas,Guatemala,4
Bahamas,Honduras,4
Bahamas,El Salvador,4
Bahamas,Nicaragua,4
Bahamas,Costa Rica,4
Bahamas,Panama,4
Bahamas,Colombia,4
Bahamas,Venezuela,4
Bahamas,Guyana,4
Bahamas,Suriname,4
Bahamas,Ecuador,4
Bahamas,Peru,4
Bahamas,Brazil,4
Bahamas,Bolivia,4
Bahamas,Paraguay,4
Bahamas,Chile,4
Bahamas,Argentina,4
Bahamas,Uruguay,4
Cuba,Belarus,2
Cuba,Angola,2
Cuba,South Africa,2
Cuba,North Korea,4
Haiti,United States of America,4
Haiti,Bahamas,4
Haiti,Dominican Republic,4
Haiti,Jamaica,4
Haiti,Trinidad and Tobago,4
Haiti,Barbados,4
Haiti,Dominica,4
Haiti,Grenada,4
Haiti,St. Lucia,4
Haiti,St. Vincent and the Grenadines,4
Haiti,Antigua & Barbuda,4
Haiti,St. Kitts and Nevis,4
Haiti,Mexico,4
Haiti,Belize,4
Haiti,Guatemala,4
Haiti,Honduras,4
Haiti,El Salvador,4
Haiti,Nicaragua,4
Haiti,Costa Rica,4
Haiti,Panama,4
Haiti,Colombia,4
Haiti,Venezuela,4
Haiti,Guyana,4
Haiti,Suriname,4
Haiti,Ecuador,4
Haiti,Peru,4
Haiti,Brazil,4
Haiti,Bolivia,4
Haiti,Paraguay,4
Haiti,Chile,4
Haiti,Argentina,4
Haiti,Uruguay,4
Dominican Republic,United States of America,4
Dominican Republic,Bahamas,4
Dominican Republic,Haiti,4
Dominican Republic,Jamaica,4
Dominican Republic,Trinidad and Tobago,4
Dominican Republic,Barbados,4
Dominican Republic,Dominica,4
Dominican Republic,Grenada,4
Dominican Republic,St. Lucia,4
Dominican Republic,St. Vincent and the Grenadines,4
Dominican Republic,Antigua & Barbuda,4
Dominican Republic,St. Kitts and Nevis,4
Dominican Republic,Mexico,4
Dominican Republic,Belize,4
Dominican Republic,Guatemala,4
Dominican Republic,Honduras,4
Dominican Republic,El Salvador,4
